stage,stage_name,intervals,population_count,container_count,stage_start,stage_end,entry_count_sum,exit_count_sum,avg_weight_start_g,avg_weight_end_g,feed_kg,mortality_count,mortality_biomass,container_ids
Adult,Ongrowing,94,94,38,2024-02-19,2025-05-23,5303414,5216364,413.2,907.4,2927906.2,90435,0.0,088FAC00-5BCA-46F8-B054-EC53A464831E;122093A7-70D6-4598-BF06-1496397E5099;14E0CCB7-2166-488F-9FB1-9D4AEC5D0B82;17FD50D3-AFC4-4C66-92D4-4BA49FE3311A;19E8150E-061E-4CF8-80A1-5A366FC65EC9;1A26A66A-819D-4C83-9C77-62EFC79D4F3B;1E1B5021-6744-421C-BC24-739B135BC1E6;33EB6F3A-BB73-4592-BE98-43FA665347F9;3E743C37-24AF-4231-8474-1773E269F0CB;46089B82-628E-4861-987C-CC550F0AE5DE;464AED47-F717-4E91-A26C-FC77D53045CF;49D6DB23-974A-4DA9-90C3-32C77E6186C4;511C5669-2FF5-4D21-B013-3BBCE121F666;546359B9-8AAA-4A91-A72E-1FEEF911E601;54E55714-0944-43A4-9029-85F64495D4B0;5B6638D2-AD4C-4417-BBB0-50F0FE08DF81;6518CCFE-7DD6-4803-A18D-59A38A06463F;66428F7F-853E-4F10-8EC8-EA34C27D0372;685143A4-90B4-4A11-B923-22BA74443783;6D163EDF-902A-4936-B227-C653748A9197;77E6DA6F-E99D-49FF-9500-E9D1BDE4D5D7;8036CACD-0DD8-4CCF-80AF-8E798BE0C3D5;AAE4140B-9BFE-4106-9F94-929450A79142;BC16D2F0-5389-4A84-9651-D63633CEFA27;BCE7D8D1-33A0-4917-9208-7326A1AB6BE6;C35EF30F-CC02-465E-8D1E-4D3D8686CF06;C5CEA294-1613-4213-9491-C38513C61433;C5F55EA4-2341-4BA7-AD4D-037A4238D8AE;CB42ECA8-E004-41AA-A30E-FFA3BE9EB783;E621CA88-20D8-406E-8C2E-B5C9A4D6E3E3;E64F4961-B0B9-43E7-B8ED-45A16BE17FF2;EA7DDD95-0CA2-46ED-8021-EFE3F70D7CA0;EE6DE885-149C-4ACE-82D4-769EF520C505;F3A427A6-ADA6-424F-A37C-11CF0E0B316F;FDA9FC6D-F09C-4854-89A2-58DD740ED000;FDCA7883-D5FB-422F-AE27-65D8F1693331;FDE2DBDF-FAB3-447B-8A26-5614BEFF7510;FFBC82FD-743A-452B-AD7B-75C252413DAD
Unknown,Unknown,102,102,102,2024-02-19,2024-06-28,5860229,5860229,403.7,403.7,0.0,0,0.0,02E0FCEB-CC63-431C-B4E1-0000F792C2EB;044F886B-5E34-416B-BFF9-581D20A40C48;06A41328-1158-4B21-BBFE-3D83B102783E;06B5634E-0A63-462D-906F-9DAE6DA8BE57;08407C00-CA89-44BB-AA0B-1F38B8D4FDD7;08E9A839-E434-42DC-ADF0-CC0EB0538EEB;09453AB9-BEB7-451B-A077-2D7F5BD2A6AD;0C065C75-73A3-4A78-9AF9-FB2AF23EC363;148CC3A2-1174-453B-AE2A-53AB39ED4542;19E8150E-061E-4CF8-80A1-5A366FC65EC9;1CC5D3F6-17A7-496C-9B2D-EA7885E6A5EA;1F981012-8BEC-4CEB-9B4E-3AB9632324A2;235A9FB7-A4A6-4B4A-9268-17CB9219012E;24D3EB42-31DC-496A-8B8D-30AE3EC58090;272BB204-41FC-4631-ADCE-CB2BBBAA87A7;274AF84B-F8DE-4EC3-852C-F321391C990C;293088C4-FAEC-4337-8E33-7577816361F0;2D2C3E61-AFE2-4B28-998F-3860E1B6D0E5;2ED5EC27-9C77-4A15-B3DF-4B6201507E0E;2F9E3467-71E7-4D0D-AC53-6810E519DC28;31211606-FD04-4850-961C-B88F4CE974A2;322912E0-4AA9-4546-88A7-6E356CC7F43B;32930247-784A-4A96-A204-3C0089C5E846;32BE5ACD-BEBF-4896-986E-0D8B153E2223;37144436-8794-4165-B61F-D28A4FAA5931;3B0F13AA-F386-4A0E-BBA8-76A3FD32AEEF;3DA5DFFB-DAF7-4DCB-8B52-CD6D6C604808;42A7FBF6-8327-464F-9B2F-8AE3E5E4EEF5;464AED47-F717-4E91-A26C-FC77D53045CF;4A28AEC6-14EF-4949-ABEE-2A7AA38A1E9E;4A8332FD-EAB3-45CA-89B9-DD82779C2CCF;4DF01BE6-5B19-420A-93E2-D5F410BC5AE5;503FD0EB-194B-43FB-A36E-8CCC7C6A9A59;5056D4D4-B049-466D-A513-746248114F97;534A22C3-2DA8-49D7-B255-0029E08302B8;58F7A91E-5EF0-43B7-8C99-CDA9E9DE90F8;59257B9B-6FAB-433F-9A26-BB915747FE13;5AA8BB03-5FE1-4C80-8D1C-1F5B020CF63B;62D3E0DD-C5F3-417C-BBA8-DE2FEAC5F399;664CC59E-5EF7-47A7-81AB-BB20570D9854;67C4B407-0BE9-47E0-BC5C-7CB01BE515C3;68471E2E-6DC7-42CC-847D-E3551F99CFAE;6B306AFD-8BF0-4771-AFB3-301E90DDF138;6C7D3B9B-0A85-4601-BA92-AABA83EF10F1;6CACA0DD-368F-4AB7-AC80-693E139C9AEF;6DC72B15-B9B2-43C6-A676-C05E67B4CB9E;7453A6AC-4DAF-4811-8C3B-161B06173BDF;754E76EB-506F-4AA4-BB20-CBD597A9CCAA;78A42BC9-91A1-49B7-84A2-465644DAB8DB;79F14A87-6711-48C5-91D1-362C77F26F7F;7BCD353F-4036-4B04-855A-5AF687EBB2D7;7CDCAF12-DD6C-4759-A9AC-A5E9A65BDFD9;7FAE4D20-DA26-49F7-9622-6FFFEBDEFDF7;8082CD78-A0DB-4F25-9C09-E178F946C697;81BEFFB2-61C8-400D-8228-8D37F5A60A26;8634ECF5-36DD-4148-95E0-741AEF907D14;87D76D98-A9A3-4BF9-B21F-724CA9760711;89EFCA5B-1347-4707-A88D-4D4197934374;8BC4A564-3F83-488D-81A7-DA7BA777CF57;8BC7F0A8-5E9D-4829-9538-CCC22A702AA7;8C42DC09-A881-4B39-8D78-B7810AD7B8AC;8E18056F-C41C-4C54-A068-413F0CE326DB;9152691F-7510-47FF-8F38-ECC30C3EA8F5;947F383B-EBA1-473A-A146-E3C4E860D864;9507F009-4286-418C-9FF4-BD7DA793CFDF;96C99051-D94C-4499-829A-C48F510BA4E9;96D2BDC8-99AC-435A-88DF-872AB3531425;96F36B01-EBEF-4D3D-A5C5-D4C184A0796D;A5DC2E66-DE5B-47D6-ACB2-29DE543B0EC9;AD8232B1-11C6-4AA5-B994-9F32AF469AD9;AEFAB338-C12C-477D-9674-7F1CD2663115;B441A2CF-2836-4B4B-B648-98D98C8A96F5;B7EC13CE-BA8B-4248-B86C-B9DC9DC57038;BA534E29-917D-46BA-BF42-5B7D03A1ACA1;BDBD2081-E66E-4381-B1DC-D7CE793BF224;BE7625FC-A433-422C-B560-020E7261195C;BFE34572-0AD1-4310-B29C-3E97C2708A09;C23D4830-A2CF-4C57-9340-66AD2FEA4EBD;C2E3A5C9-78DB-4E14-8F36-4E2825084A57;C2E4A02B-7408-4B48-9A65-DE38157B3D91;C660E2D3-EC8B-4ED6-90CA-FB734C97322D;CB5BE0D6-7BB3-473D-B952-ED9359A44C90;CF323F82-C81D-4745-87C4-4A27816A73E6;D1875040-7087-4709-A283-E43E8192E20A;D2917A96-2431-4EDC-8123-C688B6B12168;D37759C7-29BC-4ABA-8D99-F608FE0DBEC2;D6802391-DDC1-416B-A4D4-AE822A705BC3;D8B8AA9B-A8E1-43DD-B5F7-C029C6CC2BCA;D8CDB5DD-774E-43DC-99C7-BE205E521B60;E30DEF3F-A322-449F-B09D-80C5AD569EFF;E41BB015-6BA1-4399-8729-390704747A2A;E63B0D95-7321-4DE0-A29E-E0AA88EC9E85;E7E19512-8E43-4EA3-97E4-5067F5F246C0;E86E363A-05C0-40F3-B052-30D18D82B6D4;F13CD676-4CC5-4556-88F7-7AD6BA129BF5;F95800D3-4455-4092-95E0-5D9D0E51BA76;FBAEB8E9-E486-4674-B172-5BEDE758E6D2;FBBEA4E1-F57D-4F54-B079-12C8BBEFD40F;FC8C23EF-3594-4A7B-ADF0-BCD80356A63C;FD1C3EAC-6698-441D-84B3-1C848A98AF7D;FDA9FC6D-F09C-4854-89A2-58DD740ED000;FDE2DBDF-FAB3-447B-8A26-5614BEFF7510
