population_id,container_id,container_name,prod_stage,environment,site,site_group,company,org_unit_id,org_unit_name,start_time,end_time,input_name,input_number,year_class,population_name,input_year,input_number_ext,fishgroup,inferred_supplier_code,inferred_month,inferred_year,inferred_year_class,candidate_batch_keys,stage_name,aquamind_stage,stage_source
2B28C893-2577-49C7-BBB1-01F1391C6A72,9507F009-4286-418C-9FF4-BD7DA793CFDF,Temp,,,,,,E0EC13DA-D426-4526-8C76-EBE6B6644555,Temp,2024-06-03 15:55:52,2024-06-03 15:55:52,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
32C43D7A-690A-484F-A587-BC69BEE0FE33,BE7625FC-A433-422C-B560-020E7261195C,Temp,,,,,,36DA1C11-2592-457C-BE34-B9CE76823308,Temp,2024-05-06 20:16:25,2024-05-06 20:16:25,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
32F1561C-1656-4D57-B07E-99F015C057BA,AEFAB338-C12C-477D-9674-7F1CD2663115,Temp,,,,,,DF5598AF-F01F-4014-86B1-E5DC6ED7CF48,Temp,2024-04-10 09:35:12,2024-04-10 09:35:12,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
339E2E5D-BF9B-4552-AA46-DDA3B4ACA11E,8E18056F-C41C-4C54-A068-413F0CE326DB,Temp,,,,,,148C514A-49EA-41D6-8B8F-62F89B2545FC,Temp,2024-04-23 22:07:47,2024-04-23 22:07:47,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
37343B63-A556-4564-9D3F-9C52FA35BEDE,E7E19512-8E43-4EA3-97E4-5067F5F246C0,Temp,,,,,,72ADAF8A-7929-42AE-9DC8-43BEDED24E7D,Temp,2024-03-14 16:41:41,2024-03-14 16:41:41,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
37A57746-51FA-4936-8FA8-574D05D13429,4A8332FD-EAB3-45CA-89B9-DD82779C2CCF,Temp,,,,,,BB989DE9-F861-42AF-B843-576A14235138,Temp,2024-05-31 14:34:46,2024-05-31 14:34:46,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
3C88003B-594C-4403-8693-FCD8C6517C8C,FD1C3EAC-6698-441D-84B3-1C848A98AF7D,Temp,,,,,,93F85D43-4817-4423-962C-FAB0756C786A,Temp,2024-04-30 16:40:31,2024-04-30 16:40:31,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
3DBE13B3-3799-4063-983E-9DB4FEDB7E19,E30DEF3F-A322-449F-B09D-80C5AD569EFF,Temp,,,,,,2DCB9F6C-63ED-47E3-B50A-BEB598700718,Temp,2024-06-17 22:25:20,2024-06-17 22:25:20,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
3E702530-57A0-44D2-9AE0-33A8AF0622E7,6C7D3B9B-0A85-4601-BA92-AABA83EF10F1,Temp,,,,,,3E2E48A1-F47E-4D79-B938-F54CE94AD6A3,Temp,2024-04-30 07:40:31,2024-04-30 07:40:31,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
4078057B-AB47-4D0F-BC65-E48E223C0089,79F14A87-6711-48C5-91D1-362C77F26F7F,Temp,,,,,,B472AD85-340E-431E-A1E6-6C303AAE12C7,Temp,2024-03-14 21:35:50,2024-03-14 21:35:50,,,,,,,,,,,2024,LHS FEB 23|2|2024;LHS FEB 23|2|2024;LHS FEB 23|2|2024,,,
