hall,hall_letter,container_count,population_count,start_min,start_max,end_min,end_max,span_days,lifecycle_stages
A Høll,A,5,5,2024-08-08 16:57:08,2024-08-08 16:57:08,2024-10-17 20:57:28,2024-10-17 21:12:16,70,Fry
B Høll,B,8,10,2024-12-11 12:00:37,2024-12-13 15:38:55,2024-12-13 15:38:55,2025-01-26 09:17:48,45,Fry
C Høll,C,18,99,2025-01-24 09:01:01,2025-08-08 15:24:09,2025-01-25 09:10:07,2025-08-14 14:23:28,202,Fry
D Høll,D,4,22,2025-06-10 22:02:35,2025-09-09 11:31:00,2025-06-11 22:26:49,2025-10-09 15:57:24,120,Fry
E1 Høll,E,4,8,2025-08-11 09:05:56,2025-11-17 12:24:39,2025-11-14 14:42:48,2025-11-17 12:28:35,98,Fry
E2 Høll,E,4,5,2025-10-02 12:00:05,2025-10-09 15:57:24,2025-10-09 15:57:24,2025-12-29 16:00:56,88,Fry
Startfóðringshøll,S,30,34,2024-10-17 20:57:28,2024-10-17 21:12:16,2024-10-17 21:10:29,2024-12-13 15:38:55,56,Fry
