population_id,container,start_time,end_time,first_stage_token,last_stage_token,resolved_stage,status_at_start_time,status_at_start_count,status_latest_time,status_latest_count,status_compare_basis,status_compare_time,status_compare_count,conserved_count,known_removals,assignment_materialized,assignment_id,assignment_date,assignment_departure_date,assignment_population_count,assignment_biomass_kg,assignment_is_active,superseded_same_stage,short_superseded,superseded_with_operational_activity,external_mixing,subtransfer_touched,long_bridge_companion,parity_outcome
86CDCD39-2A17-4426-B129-B4679A3D78A0,B01,2025-09-09 08:41:47,2025-09-09 08:43:47,Fry,Fry,Parr,2025-09-09 08:41:47,58873,2025-09-09 08:43:47,58873,start,2025-09-09 08:41:47,58873,102381,0,Y,62154,2025-09-09,2025-09-09,0,0.00,N,Y,Y,N,Y,Y,N,same_stage_superseded_zeroed
51A08A5A-ECEE-4151-998C-64AA031D7E60,B01,2025-09-09 08:43:47,2025-10-23 12:40:31,Fry,Fry,Parr,2025-09-09 08:43:47,74983,2025-10-23 12:40:31,70196,start,2025-09-09 08:43:47,74983,131534,137,Y,62156,2025-09-09,2025-10-23,74983,1467.42,N,Y,N,Y,Y,Y,Y,long_bridge_companion_status_match
E5858FB8-9EAE-49F0-B60F-63324E7021D4,B01,2025-10-23 15:09:54,2025-10-24 11:21:17,Fry,Fry,Parr,2025-10-23 15:09:54,28167,2025-10-24 11:21:17,28160,start,2025-10-23 15:09:54,28167,50958,7,Y,62207,2025-10-23,2025-10-24,28167,676.01,N,Y,Y,Y,Y,Y,N,status_at_start_match
4195A5D0-BA0B-4762-83F3-61EC09C49A06,B01,2025-10-24 11:21:17,2025-11-13 15:21:49,Fry,Fry,Parr,2025-10-24 11:21:17,47516,2025-11-13 15:21:49,49214,start,2025-10-24 11:21:17,47516,89098,869,Y,62212,2025-10-24,2025-11-13,47516,1278.18,N,Y,N,Y,Y,Y,Y,long_bridge_companion_status_match
A7F4009D-A5AF-4D58-894B-4074E1DFE004,B01,2025-11-14 15:12:59,2025-11-14 15:35:30,,,Parr,2025-11-14 15:12:59,41914,2025-11-14 15:35:30,41914,start,2025-11-14 15:12:59,41914,76711,0,Y,62238,2025-11-14,2025-11-14,0,0.00,N,Y,Y,N,N,Y,N,same_stage_superseded_zeroed
CD9EDB9F-1604-45B0-ABE3-6A4776EFCC03,B01,2025-11-14 15:35:30,2025-12-10 16:04:14,,,Parr,2025-11-14 15:35:30,75490,2025-12-10 16:04:14,72976,start,2025-11-14 15:35:30,75490,135321,2185,Y,62223,2025-11-14,2025-12-10,75490,2018.60,N,Y,N,Y,Y,Y,Y,long_bridge_companion_status_match
FD48652D-029E-4CDF-B960-13DF47CE2D7A,B01,2025-12-10 16:06:25,2025-12-11 13:45:12,,,Parr,2025-12-10 16:06:25,39919,2025-12-11 13:45:12,39916,start,2025-12-10 16:06:25,39919,74295,0,Y,62265,2025-12-10,2025-12-11,0,0.00,N,Y,Y,N,N,Y,N,same_stage_superseded_zeroed
2BB7ACE9-BC49-4786-B38F-4F405668777B,B01,2025-12-11 13:45:12,2026-01-22 12:05:16,,,Parr,2025-12-11 13:45:12,51505,2026-01-22 12:05:16,52675,start,2025-12-11 13:45:12,51505,94076,0,Y,62268,2025-12-11,,51505,1182.55,Y,Y,N,N,Y,Y,Y,long_bridge_companion_status_match
