population_id,container,start_time,end_time,first_stage_token,last_stage_token,resolved_stage,status_at_start_time,status_at_start_count,status_latest_time,status_latest_count,status_compare_basis,status_compare_time,status_compare_count,conserved_count,known_removals,assignment_materialized,assignment_id,assignment_date,assignment_departure_date,assignment_population_count,assignment_biomass_kg,assignment_is_active,superseded_same_stage,short_superseded,superseded_with_operational_activity,external_mixing,subtransfer_touched,long_bridge_companion,parity_outcome
BC31E77C-8C24-4F9C-8A19-6A8D14D10AC2,D5,2025-10-13 13:54:23,2025-10-14 08:52:57,Fry,Fry,Smolt,2025-10-13 13:54:23,58739,2025-10-14 08:52:57,58735,start,2025-10-13 13:54:23,58739,107810,4,Y,62196,2025-10-13,2025-10-14,58739,2458.81,N,Y,Y,Y,N,Y,N,status_at_start_match
A8B2808F-8D88-432D-8305-395054A7181E,D5,2025-10-14 08:52:57,,Fry,Fry,Smolt,2025-10-14 08:52:57,104008,2026-01-22 00:00:00,103716,latest,2026-01-22 00:00:00,103716,191138,221,Y,62199,2025-10-14,2026-01-22,103716,13885.50,N,N,N,N,N,Y,Y,long_bridge_companion_status_match
