population_id,container,start_time,end_time,first_stage_token,last_stage_token,resolved_stage,status_at_start_time,status_at_start_count,status_latest_time,status_latest_count,status_compare_basis,status_compare_time,status_compare_count,conserved_count,known_removals,assignment_materialized,assignment_id,assignment_date,assignment_departure_date,assignment_population_count,assignment_biomass_kg,assignment_is_active,superseded_same_stage,short_superseded,superseded_with_operational_activity,external_mixing,subtransfer_touched,long_bridge_companion,parity_outcome
BACCC6F9-64F6-41A8-B1C3-49B356C7C663,C12,2025-10-08 10:45:49,2025-10-09 10:51:18,Fry,Fry,Smolt,2025-10-08 10:45:49,30040,2025-10-09 10:51:18,30040,start,2025-10-08 10:45:49,30040,50129,0,Y,62185,2025-10-08,2025-10-09,30040,1567.19,N,Y,N,N,N,Y,N,status_at_start_match
4AE47F3B-A817-4EC6-8EB4-7BB12C22BAD6,C12,2025-10-09 10:51:18,2025-10-09 14:43:44,Fry,Fry,Smolt,2025-10-09 10:51:18,63186,2025-10-09 14:43:44,63122,start,2025-10-09 10:51:18,63186,108917,64,Y,62186,2025-10-09,2025-10-09,63186,3058.83,N,Y,Y,Y,N,Y,N,status_at_start_match
9104535D-ED59-414B-AB2A-91230BC4BBFA,C12,2025-10-09 14:43:44,,Fry,Fry,Smolt,2025-10-09 14:43:44,100218,2026-01-22 00:00:00,99754,latest,2026-01-22 00:00:00,99754,175165,366,Y,62189,2025-10-09,2026-01-22,99754,13813.93,N,N,N,N,N,Y,Y,long_bridge_companion_status_match
