population_id,container,start_time,end_time,first_stage_token,last_stage_token,resolved_stage,status_at_start_time,status_at_start_count,status_latest_time,status_latest_count,status_compare_basis,status_compare_time,status_compare_count,conserved_count,known_removals,assignment_materialized,assignment_id,assignment_date,assignment_departure_date,assignment_population_count,assignment_biomass_kg,assignment_is_active,superseded_same_stage,short_superseded,superseded_with_operational_activity,external_mixing,subtransfer_touched,long_bridge_companion,parity_outcome
F17CB304-A568-43EA-A950-26E8933D0F70,B02,2025-08-26 11:56:47,2025-09-11 14:48:03,Fry,Fry,Parr,2025-08-26 11:56:47,177853,2025-09-11 14:48:03,154208,start,2025-08-26 11:56:47,177853,295051,23645,Y,62147,2025-08-26,2025-09-11,177853,2086.22,N,Y,N,Y,Y,Y,N,status_at_start_match
04255994-08CF-41B6-A52E-1D8264A6C99A,B02,2025-09-11 16:04:45,2025-11-28 14:07:52,Fry,Fry,Parr,2025-09-11 16:04:45,118966,2025-11-28 14:07:52,134538,start,2025-09-11 16:04:45,118966,229648,385,Y,62167,2025-09-11,2025-11-28,118966,1150.40,N,Y,N,Y,Y,Y,N,status_at_start_match
18752ED9-C157-4247-80FF-B4E2DD4B7BE8,B02,2025-11-28 14:10:26,2025-12-11 11:53:49,,,Parr,2025-11-28 14:10:26,47912,2025-12-11 11:53:49,47914,start,2025-11-28 14:10:26,47912,81783,0,Y,62252,2025-11-28,2025-12-11,47912,819.30,N,N,N,N,Y,Y,N,blank_token_external_mixing_status_match
9C2252EE-31F0-4184-90EC-8DE919BBAFDE,B02,2025-12-11 13:47:37,2026-01-22 12:03:25,,,Parr,2025-12-11 13:47:37,47349,2026-01-22 12:03:25,47067,start,2025-12-11 13:47:37,47349,82038,0,Y,62269,2025-12-11,2026-01-22,47349,503.79,N,Y,N,N,Y,Y,N,blank_token_external_mixing_status_match
F1CFAB0C-E3DE-40E1-AC0B-A1E0AB76E3DE,B02,2026-01-22 12:03:25,2026-01-22 12:05:16,,,Parr,2026-01-22 12:03:25,53308,2026-01-22 12:05:16,53308,start,2026-01-22 12:03:25,53308,88497,0,Y,62288,2026-01-22,2026-01-22,0,0.00,N,Y,Y,N,Y,Y,N,same_stage_superseded_zeroed
98B9B6BE-06DC-42A3-9731-9E0242EB5439,B02,2026-01-22 12:05:16,,,,Parr,2026-01-22 12:05:16,73853,2026-01-22 12:05:16,73853,latest,2026-01-22 12:05:16,73853,125190,0,Y,62291,2026-01-22,2026-01-22,73853,1859.62,N,N,N,N,Y,Y,Y,long_bridge_companion_status_match
