population_id,container,start_time,end_time,first_stage_token,last_stage_token,resolved_stage,status_at_start_time,status_at_start_count,status_latest_time,status_latest_count,status_compare_basis,status_compare_time,status_compare_count,conserved_count,known_removals,assignment_materialized,assignment_id,assignment_date,assignment_departure_date,assignment_population_count,assignment_biomass_kg,assignment_is_active,superseded_same_stage,short_superseded,superseded_with_operational_activity,external_mixing,subtransfer_touched,long_bridge_companion,parity_outcome
A5D108F8-D5B4-49BE-87F9-9816CED4D468,D4,2025-12-12 09:00:04,2025-12-15 09:14:48,,,Smolt,2025-12-12 09:00:04,32955,2025-12-15 09:14:48,32883,start,2025-12-12 09:00:04,32955,61189,0,Y,62272,2025-12-12,2025-12-15,32955,1975.65,N,Y,N,N,N,Y,N,status_at_start_match
A17A8FE3-BD36-4E0C-85BD-FF7384E7E859,D4,2025-12-15 09:14:48,2025-12-16 10:30:50,,,Smolt,2025-12-15 09:14:48,66181,2025-12-16 10:30:50,66085,start,2025-12-15 09:14:48,66181,119384,0,Y,62276,2025-12-15,2025-12-16,66181,3967.55,N,Y,N,N,N,Y,N,status_at_start_match
86E8B32B-1404-400F-A08C-613B1056F6B4,D4,2025-12-16 10:30:50,,,,Smolt,2025-12-16 10:30:50,99301,2026-01-22 00:00:00,99222,latest,2026-01-22 00:00:00,99222,178206,0,Y,62278,2025-12-16,2026-01-22,178206,15076.23,N,N,N,N,N,Y,N,conserved_count_applied
