tag_id,tag_name,description,unit,min_eu,max_eu,parameter_hint,sensor_id,container_id,parameter_id,notes
c9002ced-f30c-4ef1-8b4a-2bb3c6f73218,B003_U01_T01_MI03.PV,omrører,,0.0,10.0,,,,,
2cabef3b-afc7-4e1a-867b-2e2fddfcdf93,B003_U01_T01_MI04.PV,omrører,,0.0,10.0,,,,,
7ee14081-e564-4d9a-937c-55bd2bc9e009,B003_U01_T01_PT01.PV,dryk transmitter,,-2.0,10.0,,,,,
b98dcffc-0b69-4b50-bcbb-886834f3ad0c,B003_U01_T01_PU01.PV,Pump,,0.0,10.0,,,,,
d2617f01-5fca-4eb5-90ae-890dcd74dccc,B003_U01_T01_VA01.PV,Automatik Ventil,,0.0,10.0,,,,,
d12375e8-f7e7-459b-b30a-5cfa2748d859,B003_U01_T01_VA02.PV,Automatik ventil,,0.0,10.0,,,,,
2fc67237-56d8-4f39-8f73-7718bcd67a6b,B003_U01_T01_VA03.PV,Automatik ventil,,0.0,10.0,,,,,
daa8ad11-a393-4148-9b7f-59eb2b52e866,B003_U01_T01_VA04.PV,Lager bauerventil,,0.0,10.0,,,,,
8fcdeb5b-aa88-49d1-8e91-6fa85a133591,B003_U01_T01_VE02.PV,manuel ventil,,0.0,10.0,,,,,
18e0ffa7-8ea8-4d70-b869-5df4f2b37dad,B003_U01_T01_VE03.PV,manuel ventil,,0.0,10.0,,,,,
cc6db383-fe3b-469e-b514-c91246a34261,B003_U01_T01_VE14.PV,manuel ventil,,0.0,10.0,,,,,
5e8b3e4c-51f5-4405-a2e9-9af8ea60d88b,B003_U01_T03_LT61.PV,Niveau transmitter,,0.0,100.0,,,,,
d28a7187-1eda-4d76-80cc-2fc83978d207,B003_U01_T03_PU61.PV,Pump,,0.0,10.0,,,,,
e4812f8c-8412-4fa5-9e1b-22f9b795bae2,B003_U01_T04_LT01.PV,CIP tank niveau,,0.0,130.0,,,,,
21956fd8-cd4d-4799-ace0-624906d88d90,B003_U01_T04_LT61.PV,CIP tank niveau,,0.0,130.0,,,,,
3d6bd315-8481-4264-b999-4cf66808d9ea,B003_U01_T04_PU01.PV,Cirk. Pumpe CIP,,0.0,10.0,,,,,
4bf3b1c0-1d8e-48d3-a89c-4ceabc59987a,B003_U01_T04_PU61.PV,Cirk. Pumpe CIP,,0.0,10.0,,,,,
b1ff660c-44ab-46fc-bfa8-490438d8bad7,B003_U01_T04_QR01_FT01.PV,Flowmåler,,0.0,100.0,,,,,
4fcffde7-1464-4f0b-82ca-70554202963f,B003_U01_T04_QR01_TP01.PV,Termisk energi,,0.0,200.0,,,,,
9b60a4ab-bfdc-4d37-8125-d830005405e2,B003_U01_T04_QR01_TT01.PV,Temperatur transmitter,,0.0,100.0,,,,,
6b4d9aa9-94a4-4237-971d-af983e3b7dc6,B003_U01_T04_QR01_TT02.PV,Temperatur transmitter,,0.0,100.0,,,,,
a4b5dbf6-882b-4233-99b9-33268da862fe,B003_U01_T04_TT01.PV,CIP tank temp,,0.0,120.0,,,,,
f30f0b94-7b64-4f4f-9ae1-bc548f636848,B003_U01_T04_TT02.PV,CIP tank temp,,0.0,120.0,,,,,
e2057dad-e179-45fa-be48-c00cea0d4d01,B003_U01_T04_TT61.PV,CIP tank temp,,0.0,120.0,,,,,
9ca157ef-5daa-410a-9348-aedf1f74c979,B003_U01_T04_TT62.PV,CIP tank temp,,0.0,120.0,,,,,
61af697e-15d7-4988-ae71-7517b50a811e,B003_U01_T04_TT63.PV,CIP circulation temp.,,0.0,120.0,,,,,
6ec7a77e-00eb-40fb-80f4-6ed625b0888a,B003_U01_T04_VA01.PV,CIP påfyldningsventil,,0.0,10.0,,,,,
b1ce9e8b-afca-4266-8261-fe13d20fe314,B003_U01_T04_VA02.PV,CIP spadeventil,,0.0,10.0,,,,,
5122b20e-d0ee-48ae-95e6-a15bd85af5a3,B003_U01_T04_VA03.PV,CIP bauerventil,,0.0,10.0,,,,,
b55d9ffd-ab36-4e48-babd-2ef95a5540d9,B003_U01_T04_VA31.PV,CIP varme bypass,,0.0,10.0,,,,,
41c67976-db4d-4a8a-92f8-1c09d67cd8e4,B003_U01_T04_VA61.PV,CIP påfyldningsventil,,0.0,10.0,,,,,
32405292-0baa-4051-99bc-9865339b5f6a,B003_U01_T04_VA62.PV,CIP spadeventil,,0.0,10.0,,,,,
845de214-f346-4464-864b-86d6a01a781d,B003_U01_T04_VA63.PV,CIP bauerventil,,0.0,10.0,,,,,
e48817a3-f7f7-4725-8148-c65e37e7bef4,B003_U01_T05_LT01.PV,Olietank niveau,,0.0,110.0,,,,,
8e7d4d82-6994-4ac9-b920-af489cad20e0,B003_U01_T05_LT61.PV,Olietank niveau,,0.0,110.0,,,,,
a99d0022-826c-46e7-be5d-45875c8b1cf8,B003_U01_T05_PU01.PV,Diesel/AdBlue pumpe,,0.0,10.0,,,,,
8e4d9e25-3feb-46fa-8ed2-fefc19100368,B003_U01_T05_PU61.PV,Diesel/AdBlue pumpe,,0.0,10.0,,,,,
4ccaa17b-3eaf-466f-9c2d-e99ff4b7caa6,B003_U01_T06_LS61.PV,FeCl tank lavt niveau,,0.0,10.0,,,,,
bb45f875-7c7f-4ae3-9765-a8e31ba444c5,B003_U01_T06_LS62.PV,FeCl tank lavt niveau,,0.0,10.0,,,,,
87925cbd-ff64-4822-b068-a472081b44da,B003_U01_T06_PU61.PV,FeCl doseringspumpe,,0.0,10.0,,,,,
037fb589-ed8e-4ff9-9bae-7f7912f98a21,B003_U02_L01_AO61.PV,Frekvensomformer,,0.0,150.0,,,,,
3c7e920f-7114-46ee-b352-00d9d2c0cad6,B003_U02_L01_AO62.PV,Sæbe doseringspumpe,,0.0,150.0,,,,,
e7c8662c-603b-4c37-8e15-aa76c661630b,B003_U02_L01_FT01.PV,Flowtransmitter,,0.0,22.0,,,,,
bc940663-7419-425a-8fbd-f5525385c8e2,B003_U02_L01_FT61.PV,Flowtransmitter,,0.0,6.0,,,,,
58c6ce23-d8ed-457c-910a-854a1e35e4de,B003_U02_L01_FT63.PV,HOCl flow fra puls,,0.0,1260.0,,,,,
fbf5a337-7df0-41ce-8caf-0ac26586dda9,B003_U02_L01_FT63_lim.PV,Reguleringsventil,,-100.0,200.0,,,,,
89a509ab-c564-48a6-8b50-f1d223d80d49,B003_U02_L01_LS61.PV,Vandventil hysterese,,0.0,10.0,,,,,
308c4ca3-a424-4001-afd9-4713cae64be3,B003_U02_L01_LT61.PV,Vandtank niveau,,0.0,130.0,,,,,
7fda6f8a-4647-427a-99e6-fb7b7c447613,B003_U02_L01_PU01.PV,Trykspuler 1,,0.0,10.0,,,,,
3a71c8b4-72fe-4fc0-85d2-698d618c5350,B003_U02_L01_PU02.PV,Trykspuler 2,,0.0,10.0,,,,,
9f91e226-b2dd-4fd9-9715-c2ff04286cd9,B003_U02_L01_PU03.PV,Doseringspumpe HOCl,,0.0,10.0,,,,,
e1d1196d-ef23-4d2b-8583-e0c1e4fc8663,B003_U02_L01_PU04.PV,Doseringspumpe sæbe,,0.0,10.0,,,,,
55e7841e-d567-4040-8f64-ec19f6970c77,B003_U02_L01_PU61.PV,Trykspuler 1,,0.0,10.0,,,,,
4e84eab5-00fd-4b42-b4d8-892ac59bab6d,B003_U02_L01_PU62.PV,Trykspuler 2,,0.0,10.0,,,,,
b65d1402-17f1-400c-a4d6-4c443935adcf,B003_U02_L01_PU63.PV,Doseringspumpe HOCl,,0.0,10.0,,,,,
da286ab1-cf23-425c-911b-727471e6e714,B003_U02_L01_PU64.PV,Doseringspumpe sæbe,,0.0,10.0,,,,,
a3b8258f-0063-4f7c-b6e0-2f086a5edaa6,B003_U02_L01_PU65.PV,Vandforsyning pumpe,,0.0,10.0,,,,,
a4c400d3-73ab-4216-ad31-d1e05b3ebb94,B003_U02_L01_SP63.PV,HOCl flow setpunkt,,0.0,1260.0,,,,,
d7134d72-ef72-4230-bd58-606631149998,B003_U02_L01_UH01.PV,HOCl skab fejl,,0.0,10.0,,,,,
4b1d2599-414c-4686-bd46-5d66495887a2,B003_U02_L01_UH61.PV,HOCl skab fejl,,0.0,10.0,,,,,
82915922-0ab3-4950-9436-9eba2f791116,B003_U02_L01_VA61.PV,Vandforsyning ventil,,0.0,10.0,,,,,
8bc245df-1a54-4da7-a68c-aec0eb2e2bc9,B003_U02_L01_VA63_reg.PV,Reguleringsventil,,0.0,100.0,,,,,
61c36476-13f1-4466-8d6b-2698732a0016,B004_U01_H01_EZ31.PV,Reguleringsventil,,0.0,10.0,,,,,
4bafb06a-5cc9-4778-99ea-777c959bd16b,B004_U01_H01_TT31.PV,Temperature transmitter,,0.0,100.0,,,,,
fcf62cfb-9c5d-49a3-a5ae-24d91ed87fca,B004_U01_H01_VA31.PV,Reguleringsventil,,0.0,100.0,,,,,
4c6eac76-41d1-4c4c-9dcf-ecbbe637f327,B004_U01_H01_VA31_pos.PV,Reguleringsventil,,0.0,100.0,,,,,
a7b4b18a-06cc-480a-b82d-16ba8090218e,B004_U01_H02_FT01_F.PV,Fejl strømvorsyning,,0.0,10.0,,,,,
f3b14f3b-0c6d-4c90-be8e-e5639156b077,B004_U01_H02_FT01_FT01.PV,Flowmåler,,0.0,5.0,,,,,
1b03d95d-3d02-469b-86ea-66fdcc0a4b30,B004_U01_H02_FT01_TP01.PV,Termisk energi,,0.0,200.0,,,,,
afa9d5b6-c1ea-48d4-b33b-c0210b34c6d3,B004_U01_H02_FT01_TT01.PV,Temperatur transmitter,,0.0,100.0,,,,,
ec1f1cd1-c2f8-4398-91ac-f42f00455eb6,B004_U01_H02_FT01_TT02.PV,Temperatur transmitter,,0.0,100.0,,,,,
3ee8b0ec-0a77-4221-bd73-a4f45dd57616,B004_U01_H02_TT31.PV,Temperatur transmitter,,0.0,100.0,,,,,
