container,count_start,count_delta,count_end,biomass_start_kg,biomass_end_kg,mortality_pct
R1,213884,-13520,200364,0.00,20.04,3.89
R2,222503,-13305,209198,0.00,20.92,4.72
R3,232269,-16989,215280,0.00,21.53,6.11
R4,220565,-22380,198185,0.00,19.82,8.97
R5,210756,-14891,195865,0.00,19.59,4.41
R6,205836,-14419,191417,0.00,19.14,4.28
R7,195280,-15712,179568,0.00,17.96,2.72
