population_id,weight_g,source,as_of_date,weight_date,current_count,current_biomass_kg,sample_size,population_name,fishgroup,environment,batch_label,input_project_id,input_project_name,year_class
051E5C66-DE6D-45CA-922C-6FBBDFCF01B8,385.0,status,2026-02-04,2025-08-04,48437.0,18648.2,,Benchmark Gen. Juni 2024,242.0252,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
49C7CDEB-458D-43F2-B61F-6FDA3220CCD0,385.0,status,2026-02-04,2025-08-04,146697.0,56478.3,,Benchmark Gen. Juni 2024,242.0252,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
0BBFE71A-EC84-48EE-B691-708FB44275A4,106.86,status,2026-02-04,2025-05-13,222857.0,23813.9,,Benchmark Gen. Juni 2024,242.0226,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
C530F377-16A4-4967-BB28-709E1614D5B5,80.18,status,2026-02-04,2025-05-06,161065.0,12914.1,,Benchmark Gen. Juni 2024,242.0120,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
90195051-B3E0-464B-B924-70C9E9136734,122.48,status,2026-02-04,2025-08-14,75599.0,9259.54,,Benchmark Gen. Juni 2024,242.0307,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
092F5073-E7E7-439E-A516-7118E1A0E649,27.0,status,2026-02-04,2025-01-29,62613.0,1690.55,,Benchmark Gen. Juni 2024,242.0131,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
7BFB637C-0C7F-44B9-A2FC-7270F6115834,52.38,status,2026-02-04,2025-02-28,78981.0,4137.02,,Benchmark Gen. Juni 2024,242.0160,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
B2D9EDC7-AF0B-4446-B557-76325AB98AC2,187.98,status,2026-02-04,2025-07-18,99062.0,18621.9,,Benchmark Gen. Juni 2024,242.0293,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
EE17D100-12EA-4445-8CE7-76B9370BDE82,8.4,status,2026-02-04,2024-12-05,126892.0,1065.57,,Benchmark Gen. Juni 2024,242.0093,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
B0EB68D5-3C4B-4B46-BB9F-77174FC618C4,28.1,status,2026-02-04,2025-01-29,312276.0,8773.42,,Benchmark Gen. Juni 2024,242.0132,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
