batch_name	component_key	classification	reason	direction	source_component_population_count	target_population_count	sales_operation_id	sales_start_time	sales_operation_type	sales_action_count	sales_population_count	sales_stage_class_counts	sales_parameter_counts	sales_trip_rows	sales_guid_rows	input_operation_id	input_start_time	input_operation_type	input_action_count	input_population_count	input_stage_class_counts	input_parameter_counts	input_trip_rows	input_guid_rows	pair_start_delta_minutes
BF mars 2025	7B7E162F-72EC-42E9-B32A-953264EAC124	reverse_flow_fw_only	direction_mismatch	input_to_sales	1	73	68E185BA-CCA3-4981-BAF1-0976CC11B8BB	2025-03-11 10:00:01	7	74	73	fw:73	184:1,220:37	1	37	7AE24FFE-A8A6-40DE-B8B4-0776C9274637	2025-03-11 23:21:22	5	1	1	fw:1	184:1	1	0	801
BF oktober 2025	DCF897C6-A2A3-4914-89E9-D43C8389D887	reverse_flow_fw_only	direction_mismatch	input_to_sales	1	8	112C6EDD-F14B-48EE-AD8E-0AB709BD6728	2025-10-06 09:54:59	7	8	8	fw:8	184:1,220:4	1	4	7A458ED6-BC39-4F37-8071-40667F768A19	2025-10-09 10:14:20	5	1	1	fw:1	184:1	1	0	4339
Bakkafrost S-21 jan 25	B52612BD-F18B-48A4-BF21-12B5FC246803	reverse_flow_fw_only	direction_mismatch	input_to_sales	7	17	A5D37465-7D85-4313-813E-3AD59EC2000B	2025-01-06 15:08:04	7	34	17	fw:17	184:1,220:17	1	17	CDF4B384-2F03-4827-B562-B1AF9A0A0019	2025-01-06 15:08:04	5	7	7	fw:7	184:7	7	0	0
