schema_name,table_name,row_count
dbo,FFLockPeriod,5
dbo,FFLockPeriodLog,377
dbo,FFMortalityByCostCenterAndPeriod,188
dbo,FFOverdraftFacility,0
dbo,FFOverdraftInterest,0
dbo,FFOverdraftLimit,0
dbo,FFPaymentInterval,0
dbo,FFPaymentProfile,0
dbo,FFPaymentProfileEntry,0
dbo,FFPeriodCalculationSettings,167
dbo,FFRFS,118
dbo,FFRFSProfile,7
dbo,FFUndistributedAccountCost,40933
dbo,FFUserDefinedCost,0
dbo,FiscalPeriod,168
dbo,FiscalYear,14
dbo,FishGroupAttributes,76
dbo,FishGroupAttributeValueList,174
dbo,FishGroupHistory,228945
dbo,FishtalkWebChangeHistory,0
dbo,FishtalkWebLicensedSites,0
dbo,FishTypes,58
dbo,Folders,218
dbo,FolderShares,70
dbo,FormSettings,10624
dbo,GridLayoutAvailableOrganization,30
dbo,GridLayoutAvailableSiteType,12
dbo,GridLayoutDefaultItem,111
dbo,GridLayoutDefaultOrganization,28
dbo,GridLayoutDefaultSiteType,1
dbo,GridLayoutDefaultUser,787
dbo,GridLayouts,216
dbo,GroupShares,33
dbo,GrowthModels,120
dbo,GrowthReduction,0
dbo,HarvestCauses,3
dbo,HarvestCondition,26
dbo,HarvestConditionTable,2
dbo,HarvestConditionTableSpecies,2
dbo,HarvestLoss,20
dbo,HarvestLossType,5
dbo,HarvestPlantAssignment,1
dbo,HarvestPrognosis,0
dbo,HarvestPrognosisDefaults,0
dbo,HarvestPrognosisQualityDistribution,0
dbo,HarvestPrognosisSetup,0
dbo,HarvestPrognosisWeightDistribution,0
dbo,HarvestReports,1
dbo,HarvestReportsQualityClasses,3
dbo,HarvestReportsWeightClasses,8
dbo,HarvestResult,26853
dbo,HistoricalHatching,264
dbo,HistoricalSpawning,208
dbo,HistoricalStartFeeding,49
dbo,HWFeeding,0
dbo,HWFTSensorReadingLinks,209964
dbo,HWIntConnection,0
dbo,HWIntegrationSetup,3
dbo,HWIntSensorMapping,40
dbo,HWIntSiloMapping,22
dbo,HWIntUnitMapping,56
dbo,HWIntUserGroups,7
dbo,HWIntUsers,3
dbo,HWPackageLog,4079
dbo,HWPackages,13758
dbo,HWSensorReading,227891
dbo,ImportSensor,0
dbo,Individuals,1
dbo,IndividualsProperties,6
dbo,IndividualsSampleActions,0
dbo,InputPriceAssumptionsTable,1
dbo,InputPriceAssumptionsTableEntries,0
dbo,InputPriceAssumptionsWeightClasses,3
dbo,InputProjects,2154
dbo,InsuranceProfile,12
dbo,InsuranceProfilesAssigned,113
dbo,InternalDelivery,3075
dbo,KPI,5
dbo,KPIActions,0
dbo,KPIComments,0
dbo,KPIProfile,1
dbo,KPIProfileAssignment,0
dbo,KPISetting,0
dbo,KPISmoltActions,0
dbo,KPISmoltGridData,0
dbo,KPISmoltSetting,0
dbo,KPISmoltSubSetting,0
dbo,KPISubSetting,0
dbo,LiceLimit,13
dbo,License,1
dbo,LiceStageGroupMembership,73
dbo,LiceStageGroups,16
dbo,LiceStages,33
dbo,Locations,112
dbo,LockDates,146
dbo,LockDateSchedule,0
dbo,MapObjectType,0
dbo,MastLog,0
dbo,MeasuringCodes,55
dbo,MeasuringUnits,29
dbo,MedicamentContents,39
dbo,Medicaments,149
dbo,MethodOfShocking,2
dbo,Models,235
dbo,ModelSiteAssignments,1460
dbo,ModelUnitAssignments,88
dbo,Months,0
dbo,Mortality,4671059
dbo,MortalityCategories,8
dbo,MortalityCauseGroup,13
dbo,MortalityCauses,260
dbo,MortalityResponsibility,8157
dbo,MortalityTableEntries,942
dbo,MortalityTables,66
dbo,MultiLanguageEdit,12
dbo,Nation,240
dbo,NetChange,59
dbo,NetClean,7301
dbo,NetCleanMethods,3
dbo,NetTypes,3
dbo,NonMedicalTreatmentEquipment,27
dbo,NonMedicalTreatmentMethod,13
dbo,NS9403AFSContainer,0
dbo,NS9403AFSSilo,0
dbo,NS9403FSSetup,1
dbo,OperationProductionStageChange,26937
dbo,Operations,7172925
dbo,OptimeeringConfigProfile,0
dbo,OptimeeringScenarioData,0
dbo,OrganisationParts,1462
dbo,OrganisationRelations,127
dbo,OrganisationUnit,4215
dbo,OrganisationUnitBankAccounts,0
dbo,OrganisationUnitCustomProperties,0
dbo,OrganisationUnitCustomPropertyCodeListIDs,0
dbo,OrganisationUnitCustomPropertyValues,0
dbo,OrganisationUnitDisplayInfo,0
dbo,OrganisationUnitGroupings,136
dbo,OrganisationUnitGroupingsParts,1602
dbo,OrganisationUnitPersonnel,34
dbo,OrganisationUnitProperties,506
dbo,OrganisationUnitTypes,5
dbo,OwnershipColocated,0
dbo,OwnershipCooperated,0
dbo,OwnershipPeriod,0
dbo,OwnershipWhollyOwned,0
dbo,OxygenSaturationTable,1
dbo,OxygenSaturationTableData,1
dbo,OxygenTableEntries,1
dbo,OxygenTables,1
dbo,PackingType,4
dbo,ParametersForIndividuals,11
dbo,PermitType,2
dbo,PhotofishBox,0
dbo,PigmentType,6
dbo,PlanAction,638900
dbo,PlanActionMetaData,6036443
dbo,PlanConditions,63718
dbo,PlanContainer,543901
dbo,PlanContainerConditions,2981
dbo,PlanEconomyCondition,1
dbo,PlanEconomyConditionInsuranceProfiles,1
dbo,PlanExternalHarvest,0
dbo,PlanFallowPeriods,0
dbo,PlanFolder,25557
dbo,PlanGroupConditions,9
dbo,PlanHarvestContract,1
dbo,PlanHarvestContractRequirement,1
dbo,PlanHarvestCurve,0
dbo,PlanHarvestDateLimits,0
dbo,PlanHarvestPlantCapacity,0
dbo,PlanHarvestPlantCapacityModel,2
dbo,PlanHarvestPlantCapacityModelSelectedDays,3147
dbo,PlanHarvestPlantDefaultCapacity,1
dbo,PlanHarvestPlantMinimumVolume,0
dbo,PlanHarvestPlantModelCapacities,192
dbo,PlanHarvestPlantModelCapacityOverrides,0
dbo,PlanHarvestTrain,358
dbo,PlanHarvestVolumeModel,2
dbo,PlanHarvestWagon,14928
dbo,PlanKPIDiscreteStartValues,101325
dbo,PlannedActivities,5861
dbo,PlannedActivitiesUsers,1077688
dbo,PlanningGroups,12
dbo,PlanOptimizationWarnings,0
dbo,PlanOrgUnitConditions,269
dbo,PlanPopDistCost,0
dbo,PlanPopulation,187512
dbo,PlanPopulationAttributes,1063348
dbo,PlanPopulationStatus,497418
dbo,PlanProductionTargets,0
dbo,PlanScenario,884
dbo,PlanScenarioShare,0
dbo,PlanScenarioSourceTracking,877
dbo,PlanSite,18728
dbo,PlanSiteAvailabilityModel,10
dbo,PlanSiteAvailabilityPeriod,0
