batch_name	component_key	failed_gates	candidate_rows	deterministic_rows	deterministic_coverage	ambiguous_rows	reason	direction	source_component_population_count	target_population_count	sales_operation_id	input_operation_id	sales_operation_type	sales_operation_type_text	input_operation_type	input_operation_type_text	sales_start_time	input_start_time	sales_stage_mix	input_stage_mix	sales_params	input_params	sales_has_184	sales_has_220	input_has_184	input_has_220	sales_220_contacts	input_220_contacts	sales_population_link_rows	input_population_link_rows	sales_subtransfer_rows	input_subtransfer_rows
BF mars 2025	7B7E162F-72EC-42E9-B32A-953264EAC124	evidence,uniqueness,coverage,marine_target	1	0	0.0	1	direction_mismatch	input_to_sales	1	73	68E185BA-CCA3-4981-BAF1-0976CC11B8BB	7AE24FFE-A8A6-40DE-B8B4-0776C9274637	7	Sale	5	Input	2025-03-11 10:00:01	2025-03-11 23:21:22	"{""fw"": 74}"	"{""fw"": 1}"	220:37;184:1	184:1	True	True	True	False	S08 Gjógv		37	1	36	0
BF oktober 2025	DCF897C6-A2A3-4914-89E9-D43C8389D887	evidence,uniqueness,coverage,marine_target	1	0	0.0	1	direction_mismatch	input_to_sales	1	8	112C6EDD-F14B-48EE-AD8E-0AB709BD6728	7A458ED6-BC39-4F37-8071-40667F768A19	7	Sale	5	Input	2025-10-06 09:54:59	2025-10-09 10:14:20	"{""fw"": 8}"	"{""fw"": 1}"	220:4;184:1	184:1	True	True	True	False	S08 Gjógv		4	1	4	0
Bakkafrost S-21 jan 25	B52612BD-F18B-48A4-BF21-12B5FC246803	evidence,uniqueness,coverage,marine_target	1	0	0.0	1	direction_mismatch	input_to_sales	7	17	A5D37465-7D85-4313-813E-3AD59EC2000B	CDF4B384-2F03-4827-B562-B1AF9A0A0019	7	Sale	5	Input	2025-01-06 15:08:04	2025-01-06 15:08:04	"{""fw"": 34}"	"{""fw"": 7}"	220:17;184:1	184:7	True	True	True	False	S21 Viðareiði		17	7	0	0
Benchmark Gen. Septembur 2024	65370D45-A30A-4810-B8F0-06FE2DB4A001	uniqueness,coverage	15	13	0.8666666666666667	2	source_candidate_count_out_of_bounds	sales_to_input	3	1	35C2ADCF-4653-46E1-B9D8-0A37AC8CB2A9	DE8FC032-AD9E-4C0E-98EB-0B53B40F2D63	7	Sale	5	Input	2025-12-19 11:57:17	2025-12-19 22:57:17	"{""fw"": 4}"	"{""marine"": 1}"	220:2;184:1	184:1	True	True	True	False	A21 Hvannasund S		0	0	0	0
Benchmark Gen. Septembur 2024	65370D45-A30A-4810-B8F0-06FE2DB4A001	uniqueness,coverage	15	13	0.8666666666666667	2	source_candidate_count_out_of_bounds	sales_to_input	3	1	360DD1C1-11E9-463A-9C76-6DD6E1D9D00C	7BB2A6AF-5B3E-4541-9E97-CA682E9DF1DF	7	Sale	5	Input	2025-12-16 11:26:48	2025-12-17 20:21:14	"{""fw"": 4}"	"{""marine"": 1}"	220:2;184:1	184:1	True	True	True	False	A21 Hvannasund S		0	0	0	0
StofnFiskur okt. 2024	F7D08CC6-083F-4CB4-9271-ECABFA6D3F2C	evidence,uniqueness,coverage	2	1	0.5	1	source_candidate_count_out_of_bounds	sales_to_input	3	1	99A3A39A-D21B-4F8F-81FE-C9264DE107C8	DA76D788-7698-4C5F-B021-CA7260C9AB37	7	Sale	5	Input	2025-12-03 17:24:09	2025-12-03 23:24:09	"{""fw"": 6}"	"{""marine"": 1}"	220:3;184:1	184:1	True	True	True	False	A47 Gøtuvík		0	0	0	0
