stage,stage_name,population_id,container_id,container_name,start_time,end_time,duration_days,stage_source
Adult,Ongrowing,807E4724-4DF0-45AF-A94C-B3C6269CE984,685143A4-90B4-4A11-B923-22BA74443783,03,2024-03-25 21:16:48,2024-04-12 22:33:00,18.05,operation_stage_changes
Adult,Ongrowing,EF66F454-3BB5-45DB-9BF8-79D117D16DA8,E64F4961-B0B9-43E7-B8ED-45A16BE17FF2,04,2024-04-10 09:35:12,2024-04-12 22:20:51,2.53,operation_stage_changes
Adult,Ongrowing,97B5D432-A23F-467D-BBCF-8B734607B84A,77E6DA6F-E99D-49FF-9500-E9D1BDE4D5D7,02,2024-04-11 14:33:29,2024-04-11 14:33:29,0.00,operation_stage_changes
Adult,Ongrowing,2D54ABB6-D6A9-45E5-94FD-EDDD4B16A923,77E6DA6F-E99D-49FF-9500-E9D1BDE4D5D7,02,2024-04-11 15:33:29,2024-04-11 15:33:29,0.00,operation_stage_changes
Adult,Ongrowing,9761ED0C-6B0D-4268-B16D-01F00FBE3E5F,77E6DA6F-E99D-49FF-9500-E9D1BDE4D5D7,02,2024-04-11 17:37:41,2024-04-11 17:37:41,0.00,operation_stage_changes
Adult,Ongrowing,2D86FFA0-1B3E-4B37-AC33-AC8F89CCB01F,E64F4961-B0B9-43E7-B8ED-45A16BE17FF2,04,2024-04-12 22:20:51,2024-04-12 22:20:51,0.00,operation_stage_changes
Adult,Ongrowing,93B8923B-434B-444F-84FC-B286EB3C448E,E64F4961-B0B9-43E7-B8ED-45A16BE17FF2,04,2024-04-12 22:28:47,2024-04-12 22:28:47,0.00,operation_stage_changes
Adult,Ongrowing,B1FD0F7F-CBC2-4789-8BB9-D88319708CC9,685143A4-90B4-4A11-B923-22BA74443783,03,2024-04-12 22:33:00,2024-04-12 22:33:00,0.00,operation_stage_changes
Adult,Ongrowing,82079B1C-BF54-4BBD-B32C-8B678D826291,FDA9FC6D-F09C-4854-89A2-58DD740ED000,03,2024-04-13 22:59:26,2024-04-13 23:58:26,0.04,operation_stage_changes
Unknown,Unknown,1CBAEE8F-E8D6-42F8-9711-E2D6EB410004,FDA9FC6D-F09C-4854-89A2-58DD740ED000,03,2024-04-13 23:58:26,2024-04-13 23:58:26,0.00,
Adult,Ongrowing,5062691C-FA3A-4906-B894-AF8983461AB5,FDA9FC6D-F09C-4854-89A2-58DD740ED000,03,2024-04-13 23:59:22,2024-04-13 23:59:22,0.00,operation_stage_changes
Adult,Ongrowing,ECEDB99A-4061-4D8B-9335-D49474A90081,EE6DE885-149C-4ACE-82D4-769EF520C505,05,2024-04-20 09:30:23,2024-11-04 20:48:35,198.47,operation_stage_changes
Adult,Ongrowing,4924ABDF-61EA-4D8C-87C6-675BC932F5E4,FFBC82FD-743A-452B-AD7B-75C252413DAD,08,2024-04-20 10:00:30,2024-04-23 22:07:47,3.51,operation_stage_changes
Adult,Ongrowing,ABACBA9D-485E-45B8-AECB-3DDBBD34CE3E,1E1B5021-6744-421C-BC24-739B135BC1E6,07,2024-04-23 11:20:47,2024-04-24 22:28:42,1.46,operation_stage_changes
Adult,Ongrowing,1B26FF1D-30AA-4F03-BF3E-DF5EC4FB58C5,FFBC82FD-743A-452B-AD7B-75C252413DAD,08,2024-04-23 22:07:47,2024-04-23 22:07:47,0.00,operation_stage_changes
Adult,Ongrowing,C15F49BE-509E-4081-AFDF-692719203EAE,FFBC82FD-743A-452B-AD7B-75C252413DAD,08,2024-04-23 23:07:47,2024-04-23 23:07:47,0.00,operation_stage_changes
Adult,Ongrowing,949EDC77-A762-41AB-9F93-5553E9AAEB05,1E1B5021-6744-421C-BC24-739B135BC1E6,07,2024-04-24 22:28:42,2024-04-24 22:28:42,0.00,operation_stage_changes
Adult,Ongrowing,73E35574-D9E5-4650-B7EC-61BB847CB9DD,464AED47-F717-4E91-A26C-FC77D53045CF,15,2024-04-30 07:40:31,2024-04-30 16:40:31,0.38,operation_stage_changes
Adult,Ongrowing,D3FD723E-77D5-4F21-BB12-3E1BCA1F01B7,6D163EDF-902A-4936-B227-C653748A9197,20,2024-04-30 15:40:31,2024-05-23 23:56:07,23.34,operation_stage_changes
Unknown,Unknown,37954341-F06D-41F6-9071-E291ADFE5A72,464AED47-F717-4E91-A26C-FC77D53045CF,15,2024-04-30 16:40:31,2024-04-30 16:40:31,0.00,
Adult,Ongrowing,A4948DB1-5DEF-4C74-BDDA-819681A00C6D,8036CACD-0DD8-4CCF-80AF-8E798BE0C3D5,02,2024-05-01 16:04:50,2024-05-01 22:29:16,0.27,operation_stage_changes
Adult,Ongrowing,ABBF19D3-CD58-40A3-959D-8DE26EDFD4E0,E621CA88-20D8-406E-8C2E-B5C9A4D6E3E3,03,2024-05-01 18:29:16,2024-05-01 22:29:16,0.17,operation_stage_changes
Adult,Ongrowing,DA342FB4-3090-4597-BB3E-591C965F2BE2,E621CA88-20D8-406E-8C2E-B5C9A4D6E3E3,03,2024-05-01 22:29:16,2024-05-01 22:29:16,0.00,operation_stage_changes
Adult,Ongrowing,37819BE0-E0CB-463E-BA8C-13B753500F95,8036CACD-0DD8-4CCF-80AF-8E798BE0C3D5,02,2024-05-01 22:29:16,2024-05-01 22:29:16,0.00,operation_stage_changes
Adult,Ongrowing,A9866C80-EE40-438B-9DFA-ADB8AA62BE9B,E621CA88-20D8-406E-8C2E-B5C9A4D6E3E3,03,2024-05-02 16:59:45,2024-05-02 16:59:45,0.00,operation_stage_changes
Adult,Ongrowing,DBB3B894-EEE3-4AAF-9AA7-4D2FF48E7937,511C5669-2FF5-4D21-B013-3BBCE121F666,19,2024-05-02 18:44:16,2025-04-30 00:01:01,362.22,operation_stage_changes
Adult,Ongrowing,07212F42-AE9E-4DF5-9756-9D0C29C95AB5,FDCA7883-D5FB-422F-AE27-65D8F1693331,06,2024-05-06 20:16:25,2024-05-08 13:27:22,1.72,operation_stage_changes
Adult,Ongrowing,AC5193E2-8E1D-4B5D-9767-296E54C047E4,FDCA7883-D5FB-422F-AE27-65D8F1693331,06,2024-05-08 13:27:22,2024-05-08 13:27:22,0.00,operation_stage_changes
Adult,Ongrowing,1C79F09E-AB7C-4E30-9F5C-3875485C9FAC,BC16D2F0-5389-4A84-9651-D63633CEFA27,18,2024-05-21 11:20:47,2025-05-19 00:23:52,362.54,operation_stage_changes
Adult,Ongrowing,C834A4AC-98A2-4F73-8794-F0E7E1133B1F,17FD50D3-AFC4-4C66-92D4-4BA49FE3311A,17,2024-05-21 11:23:33,2024-05-21 13:20:47,0.08,operation_stage_changes
Adult,Ongrowing,462BD6C1-A346-4D1E-8446-670B309AE7F7,17FD50D3-AFC4-4C66-92D4-4BA49FE3311A,17,2024-05-21 13:20:47,2024-05-21 13:20:47,0.00,operation_stage_changes
Adult,Ongrowing,8EC5CBC1-2DF1-4DF8-81F3-76D31EB2C36F,33EB6F3A-BB73-4592-BE98-43FA665347F9,16,2024-05-22 11:37:23,2025-05-20 23:46:27,363.51,operation_stage_changes
Adult,Ongrowing,98E0712F-1F45-4D84-BB29-05F860FB8020,F3A427A6-ADA6-424F-A37C-11CF0E0B316F,11,2024-05-22 11:40:40,2024-05-22 14:45:04,0.13,operation_stage_changes
Adult,Ongrowing,FBD41BFB-4143-4F71-BB72-C3C008A691AA,F3A427A6-ADA6-424F-A37C-11CF0E0B316F,11,2024-05-22 14:45:04,2024-05-22 14:45:04,0.00,operation_stage_changes
Adult,Ongrowing,85FC7F60-26FC-4932-A31D-1A594DA7CEE7,FDE2DBDF-FAB3-447B-8A26-5614BEFF7510,07,2024-05-23 11:53:17,2024-05-23 11:56:07,0.00,operation_stage_changes
Adult,Ongrowing,94356892-9432-421A-B573-C7E8D09705CD,CB42ECA8-E004-41AA-A30E-FFA3BE9EB783,12,2024-05-23 11:56:07,2025-05-23 00:04:16,364.51,operation_stage_changes
