stage,stage_name,intervals,population_count,container_count,stage_start,stage_end,entry_count_sum,exit_count_sum,avg_weight_start_g,avg_weight_end_g,feed_kg,mortality_count,mortality_biomass,container_ids
Adult,Ongrowing,94,94,38,2024-02-19,2025-05-23,5303414,5216364,413.2,907.4,2927906.2,90435,0.0,088FAC00-5BCA-46F8-B054-EC53A464831E;122093A7-70D6-4598-BF06-1496397E5099;14E0CCB7-2166-488F-9FB1-9D4AEC5D0B82;17FD50D3-AFC4-4C66-92D4-4BA49FE3311A;19E8150E-061E-4CF8-80A1-5A366FC65EC9;1A26A66A-819D-4C83-9C77-62EFC79D4F3B;1E1B5021-6744-421C-BC24-739B135BC1E6;33EB6F3A-BB73-4592-BE98-43FA665347F9;3E743C37-24AF-4231-8474-1773E269F0CB;46089B82-628E-4861-987C-CC550F0AE5DE;464AED47-F717-4E91-A26C-FC77D53045CF;49D6DB23-974A-4DA9-90C3-32C77E6186C4;511C5669-2FF5-4D21-B013-3BBCE121F666;546359B9-8AAA-4A91-A72E-1FEEF911E601;54E55714-0944-43A4-9029-85F64495D4B0;5B6638D2-AD4C-4417-BBB0-50F0FE08DF81;6518CCFE-7DD6-4803-A18D-59A38A06463F;66428F7F-853E-4F10-8EC8-EA34C27D0372;685143A4-90B4-4A11-B923-22BA74443783;6D163EDF-902A-4936-B227-C653748A9197;77E6DA6F-E99D-49FF-9500-E9D1BDE4D5D7;8036CACD-0DD8-4CCF-80AF-8E798BE0C3D5;AAE4140B-9BFE-4106-9F94-929450A79142;BC16D2F0-5389-4A84-9651-D63633CEFA27;BCE7D8D1-33A0-4917-9208-7326A1AB6BE6;C35EF30F-CC02-465E-8D1E-4D3D8686CF06;C5CEA294-1613-4213-9491-C38513C61433;C5F55EA4-2341-4BA7-AD4D-037A4238D8AE;CB42ECA8-E004-41AA-A30E-FFA3BE9EB783;E621CA88-20D8-406E-8C2E-B5C9A4D6E3E3;E64F4961-B0B9-43E7-B8ED-45A16BE17FF2;EA7DDD95-0CA2-46ED-8021-EFE3F70D7CA0;EE6DE885-149C-4ACE-82D4-769EF520C505;F3A427A6-ADA6-424F-A37C-11CF0E0B316F;FDA9FC6D-F09C-4854-89A2-58DD740ED000;FDCA7883-D5FB-422F-AE27-65D8F1693331;FDE2DBDF-FAB3-447B-8A26-5614BEFF7510;FFBC82FD-743A-452B-AD7B-75C252413DAD
Unknown,Unknown,4,4,4,2024-03-14,2024-05-23,276733,276733,318.7,318.7,0.0,0,0.0,19E8150E-061E-4CF8-80A1-5A366FC65EC9;464AED47-F717-4E91-A26C-FC77D53045CF;FDA9FC6D-F09C-4854-89A2-58DD740ED000;FDE2DBDF-FAB3-447B-8A26-5614BEFF7510
